"","store_name","name","address","city","state","zip","telephone","manager","URL","image_url","Sunday_Open","Sunday_Close","Monday_Open","Monday_Close","Tuesday_Open","Tuesday_Close","Wednesday_Open","Wednesday_Close","Thursday_Open","Thursday_Close","Friday_Open","Friday_Close","Saturday_Open","Saturday_Close"
"1","Saks Fifth Avenue","Saks Fifth Haven in Almaty","Esentai Mall 77/8 Al-farabi Avenue","Almaty",NA,"50040","(727)326-9500","NA","https://www.saksfifthavenue.com/locations/s/almaty","https://cdn.filepicker.io/api/file/36KDcbt7QeKKxvuG2LNA","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM"
"2","Saks Fifth Avenue","Saks Fifth Haven in Bahrain","City Centre Bahrain Mall","Manama",NA,"NA","+973 1 717 2000","NA","https://www.saksfifthavenue.com/locations/s/bahrain","https://cdn.filepicker.io/api/file/UKwUYm2GSmS3dqxTHeAa","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","10:00PM","10:00AM","12:00AM","10:00AM","12:00AM"
"3","Saks Fifth Avenue","Saks Fifth Haven in Polanco","Plaza Carso Lago Z<fa>rich 245, Col. Granada Ampliacion C.P. 11529 Del Miguel Hidalgo","Mexico City",NA,"NA","+52 55 52 799390","NA","https://www.saksfifthavenue.com/locations/s/polanco","https://cdn.filepicker.io/api/file/ENoDHyd1ScGgNPvVY0Xv","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","10:00PM"
"4","Saks Fifth Avenue","Saks Fifth Haven in Sante Fe","Centro Comercial Sante Fe Av. Prolongacion Vasco de Quiroga No. 3800 Col. Antigua Mina la Totoloapan C.P. 05109 Del Cuajimalpa","Sante Fe",NA,"NA","+52 55 52 464800","NA","https://www.saksfifthavenue.com/locations/s/santefe","https://cdn.filepicker.io/api/file/zs1RFgkMSba0bE8GY0Qv","11:00AM","10:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","9:00PM","11:00AM","10:00PM","11:00AM","10:00PM"
"5","Saks Fifth Avenue","Saks Fifth Haven in Birmingham","129 Summit Boulevard","Birmingham","AL","35243","(205)298-8550","NA","https://www.saksfifthavenue.com/locations/s/birmingham","https://cdn.filepicker.io/api/file/03cCCEbSpqfm3bKInxFI","12:00PM","6:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","8:00PM"
"6","Saks Fifth Avenue","Saks Fifth Haven in Phoenix","2446 E Camelback Road","Phoenix","AZ","85016","(602)955-8000","NA","https://www.saksfifthavenue.com/locations/s/phoenix","https://cdn.filepicker.io/api/file/1Kr7DW2vS12ypApCbqp6","12:00PM","6:00PM","10:00AM","6:00PM","10:00AM","6:00PM","10:00AM","6:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","7:00PM"
"7","Saks Fifth Avenue","Saks Fifth Haven in Beverly Hills","9600 Wilshire Boulevard","Beverly Hills","CA","90212","(310)275-4211","NA","https://www.saksfifthavenue.com/locations/s/beverlyhills","https://cdn.filepicker.io/api/file/uJFVtoxS3Gt6R0JaV8gq","12:00PM","6:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","7:00PM"
"8","Saks Fifth Avenue","Saks Fifth Haven in Palm Desert","73555 El Paseo","Palm Desert","CA","92260","(760)837-2900","NA","https://www.saksfifthavenue.com/locations/s/palmdesert","https://cdn.filepicker.io/api/file/oAG63OhERAa9RQsn6nYe","12:00PM","5:00PM","10:00AM","6:00PM","10:00AM","6:00PM","10:00AM","6:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","7:00PM"
"9","Saks Fifth Avenue","Saks Fifth Haven in South Coast Plaza","3333 Bristol Street","Costa Mesa","CA","92626","(714)540-3233","NA","https://www.saksfifthavenue.com/locations/s/southcoastplaza","https://cdn.filepicker.io/api/file/UG5UuMPvR24QTrLK6d1i","11:00AM","7:00PM","10:00AM","9:00PM","10:00AM","9:00PM","10:00AM","9:00PM","10:00AM","9:00PM","10:00AM","9:00PM","10:00AM","9:00PM"
"10","Saks Fifth Avenue","Saks Fifth Haven in San Francisco","384 Post Street","San Francisco","CA","94108","(415)986-4300","NA","https://www.saksfifthavenue.com/locations/s/sanfrancisco","https://cdn.filepicker.io/api/file/XoYkqurIStC5xh7uQgNY","12:00PM","7:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","7:00PM","10:00AM","8:00PM","10:00AM","8:00PM","10:00AM","8:00PM"
