"","Store_Name","Name","Address","City","State","Zip","Manager","Telephone","Monday_Open","Monday_Close","Tuesday_Open","Tuesday_Close","Wednesday_Open","Wednesday_Close","Thursday_Open","Thursday_Close","Friday_Open","Friday_Close","Saturday_Open","Saturday_Close","Sunday_Open","Sunday_Close","Image_URL","URL"
"1","Dillards","Dillards Auburn Mall in Auburn, Alabama","1627 Opelika Rd Suite 16","Auburn","AL","03683","Terry W. Easley","(334) 821-3900","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0417.jpg","https://www.dillards.com/stores/auburn-mall-auburn-alabama/0417"
"2","Dillards","Dillards Galleria in Ft. Lauderdale, Florida","2500 East Sunrise Blvd.","Ft. Lauderdale","FL","03330","Shannon L. Lewis","(954) 565-5245","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0251.jpg","https://www.dillards.com/stores/galleria-ft.-lauderdale-florida/0251"
"3","Dillards","Dillards Countryside Mall in Clearwater, Florida","27001 Us Highway 19 N","Clearwater","FL","03376","Mary E. White","(727) 796-2242","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0206.jpg","https://www.dillards.com/stores/countryside-mall-clearwater-florida/0206"
"4","Dillards","Dillards Coconut Point in Estero, Florida","8017 Via Sardinia Way","Estero","FL","03392","Douglas D. Grauer","(239) 947-4133","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0218.jpg","https://www.dillards.com/stores/coconut-point-estero-florida/0218"
"5","Dillards","Dillards Volusia Mall in Daytona Beach, Florida","1700 W International Speedway","Daytona Beach","FL","03211","Dewey C. Stalvey","(386) 255-8161","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0235.jpg","https://www.dillards.com/stores/volusia-mall-daytona-beach-florida/0235"
"6","Dillards","Dillards Brandon Town Center in Brandon, Florida","303 Brandon Town Center Mall","Brandon","FL","03351","Tracy L. Silvia","(813) 653-4436","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0204.jpg","https://www.dillards.com/stores/brandon-town-center-brandon-florida/0204"
"7","Dillards","Dillards Boynton Beach in Boynton Beach, Florida","801 N Congress Av","Boynton Beach","FL","03342","Rolman P. Bermudez","(561) 732-4285","Closed","Closed","12:00 PM","07:00 PM","12:00 PM","07:00 PM","12:00 PM","07:00 PM","12:00 PM","07:00 PM","12:00 PM","07:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0513.jpg","https://www.dillards.com/stores/boynton-beach-boynton-beach-florida/0513"
"8","Dillards","Dillards Altamonte Mall in Altamonte Springs, Florida","451 E Altamonte Dr Ste #1101","Altamonte Springs","FL","03270","Nancy H. Nguyen","(407) 830-1211","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0226.jpg","https://www.dillards.com/stores/altamonte-mall-altamonte-springs-florida/0226"
"9","Dillards","Dillards Pueblo Mall in Pueblo, Colorado","3601 Dillon Dr","Pueblo","CO","08100","Roland Rios","(719) 545-9665","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","https://www.dillards.com/assets/img/stores/str0992.jpg","https://www.dillards.com/stores/pueblo-mall-pueblo-colorado/0992"
"10","Dillards","Dillards Southwest Plaza in Littleton, Colorado","8501 W Bowles Ste 2d657","Littleton","CO","08012","Zackary C. Metheny","(303) 979-6111","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","06:00 PM","https://www.dillards.com/assets/img/stores/str0984.jpg","https://www.dillards.com/stores/southwest-plaza-littleton-colorado/0984"
