"","Store_Name","Name","Address","City","State","Zip","Manager","Telephone","Monday_Open","Monday_Close","Tuesday_Open","Tuesday_Close","Wednesday_Open","Wednesday_Close","Thursday_Open","Thursday_Close","Friday_Open","Friday_Close","Saturday_Open","Saturday_Close","Sunday_Open","Sunday_Close","Image_URL","URL"
"1","Nordstrom","Nordstrom in Providence","6 Providence Place","Providence","RI","02903","NA","(401) 621-3111","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/520205/Nordstrom-Providence"
"2","Nordstrom","Nordstrom in Los Angeles","10830 West Pico Boulevard","Los Angeles","CA","90064","NA","(310) 470-6155","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","08:00 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/520143/Nordstrom-Los-Angeles"
"3","Nordstrom","Nordstrom in San Diego","4321 La Jolla Village Drive","San Diego","CA","92122","NA","(858) 457-4575","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/520157/Nordstrom-San-Diego"
"4","Nordstrom","Nordstrom in Seattle","401 NE Northgate Way Suite #304","Seattle","WA","98125","NA","(206)641-3300","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/24879248/Nordstrom-Seattle"
"5","Nordstrom","Nordstrom in Vancouver","8601 NE Vancouver Mall Drive","Vancouver","WA","98662","NA","(360) 256-8666","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","06:00 PM","NA","https://www.mystore411.com/store/view/520116/Nordstrom-Vancouver"
"6","Nordstrom","Nordstrom in Woodbridge","2700 Potomac Mills Circle","Woodbridge","VA","22192","NA","(703) 490-1440","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/520219/Nordstrom-Woodbridge"
"7","Nordstrom","Nordstrom in Sandy","10379 South State Street","Sandy","UT","84070","NA","(801) 432-5100","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","12:00 PM","06:00 PM","NA","https://www.mystore411.com/store/view/520235/Nordstrom-Sandy"
"8","Nordstrom","Nordstrom in Sunset Valley","5601 Brodie Lane","Sunset Valley","TX","78745","NA","(512)697-2600","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/24879297/Nordstrom-Sunset-Valley"
"9","Nordstrom","Nordstrom in Willow Grove","2500 West Moreland Road","Willow Grove","PA","19090","NA","(215)449-3777","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","10:00 AM","09:00 PM","11:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/24879280/Nordstrom-Willow-Grove"
"10","Nordstrom","Nordstrom in Tigard","9700 SW Washington Square Road","Tigard","OR","97223","NA","(503) 620-0555","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:30 PM","10:00 AM","09:00 PM","10:00 AM","07:00 PM","NA","https://www.mystore411.com/store/view/520114/Nordstrom-Tigard"
"11","Nordstrom","Nordstrom in Salem","420 Center Street NE","Salem","OR","97301","NA","(503) 371-7710","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","10:00 AM","08:00 PM","11:00 AM","06:00 PM","NA","https://www.mystore411.com/store/view/520108/Nordstrom-Salem"
